x1,x2,x3,x4,x5,x6
0,6.89e-8,6.94e-7,6.91e-6,6.94e-5,0.000616
0,1.4621809049267258,1.4621809049267258,2.0389350309899177,4.0783655389462945,4.612147647236957
0,0.8833162743091095,3.9959058341862845,25.992835209825998,8.097236438075742,18.578300921187306
0.0,3631,33304,93110,6796,29683
0.2560491614390088,3907,36892,100998,7513,27907
0.5120983228780034,3709,36718,102212,7585,27252
0.768147484316998,3744,35697,100480,7658,27051
1.0241966457559926,3585,34577,98692,7702,26519
1.2802458071949872,3504,33407,96228,7637,26741
1.5362949686339817,3418,32490,94347,7552,26642
1.7923441300729763,3214,31265,91835,7407,26178
2.048393291511971,3000,29824,90505,7555,26156
2.3044424529509797,2907,28554,88645,7770,26085
2.5604916143899743,2840,27373,86809,7450,26321
2.816540775828969,2759,26608,85533,7468,26313
3.0725899372679635,2562,25796,84331,7395,26193
3.328639098706958,2480,24635,83015,7470,25897
3.5846882601459527,2298,23942,81568,7416,25825
3.8407374215849472,2353,23289,80695,7411,25756
4.096786583023942,2254,22297,80182,7487,25685
4.352835744462951,2094,21499,78687,7325,25575
4.608884905901945,1941,20626,77956,7316,25329
4.86493406734094,1995,19958,76775,7329,25641
5.120983228779934,1872,19606,76018,7279,25404
5.377032390218929,1740,18438,75166,7356,25009
5.633081551657924,1841,17851,74997,7381,25173
5.889130713096918,1693,17506,74175,7218,24978
6.145179874535913,1588,16685,73878,7166,25450
6.401229035974907,1533,16186,73097,7236,25054
6.657278197413916,1459,15807,72016,7322,25007
6.913327358852911,1505,15076,71744,7269,24520
7.169376520291905,1390,14630,70991,7212,24818
7.4254256817309,1239,14266,70674,7119,24762
7.6814748431698945,1294,13662,70274,7076,24852
7.937524004608889,1225,13198,69253,7095,24645
8.193573166047884,1130,12884,68588,7017,24672
8.449622327486878,1097,12355,68795,7164,24421
8.705671488925887,1105,12097,67771,7140,24364
8.961720650364882,1019,11667,67621,6981,24418
9.217769811803876,1002,11128,66925,7028,24325
9.47381897324287,969,10779,66926,6982,24077
9.729868134681865,935,10163,65908,6771,23988
9.98591729612086,854,10094,65901,6902,24318
10.241966457559855,862,9805,65620,6877,24031
10.49801561899885,787,9409,65398,6904,23638
10.754064780437858,794,9243,64549,6888,23886
11.010113941876853,796,9055,64098,6990,23655
11.266163103315847,726,8649,64269,6811,23691
11.522212264754842,775,8314,63554,6705,23590
11.778261426193836,705,8042,62736,6917,23533
12.034310587632831,662,7905,62977,6705,23347
12.290359749071825,636,7505,62485,6731,23343
12.54640891051082,631,7234,61976,6682,23588
12.802458071949815,572,7119,61785,6771,23222
13.058507233388823,539,6939,61744,6725,23232
13.314556394827818,497,6671,61200,6638,23213
13.570605556266813,478,6541,60521,6669,23058
13.826654717705807,519,6421,60554,6709,23010
14.082703879144802,507,6057,60293,6647,22923
14.338753040583796,466,5901,59861,6757,22795
14.594802202022791,457,5788,59511,6736,23044
14.850851363461786,399,5604,58939,6697,22550
15.106900524900794,398,5339,58682,6736,22612
15.362949686339789,360,5332,58680,6722,22668
15.618998847778784,369,5062,58220,6743,22550
15.875048009217778,355,4891,58270,6623,22447
16.131097170656773,339,4708,57834,6673,22308
16.387146332095767,345,4582,57638,6552,22322
16.643195493534762,335,4407,57230,6667,22413
16.899244654973756,295,4313,56909,6663,22319
17.155293816412765,282,4278,57167,6668,22267
17.41134297785176,283,4092,56730,6504,21820
17.667392139290754,283,3954,56365,6542,22288
17.92344130072975,280,3705,55906,6466,21775
18.179490462168744,227,3816,56010,6475,22049
18.43553962360774,257,3503,55480,6346,21580
18.691588785046733,210,3464,55415,6493,21793
18.947637946485727,197,3257,55139,6325,21675
19.203687107924722,200,3190,54818,6325,21827
19.45973626936373,216,3166,54233,6308,21833
19.715785430802725,197,3026,54535,6304,21463
19.97183459224172,184,2978,53884,6349,21349
20.227883753680715,171,2919,53549,6382,21303
20.48393291511971,167,2793,53141,6422,21298
20.739982076558704,149,2775,53285,6350,21181
20.9960312379977,164,2620,52779,6393,21023
21.252080399436693,136,2564,53199,6231,20993
21.5081295608757,149,2500,52722,6343,21326
21.764178722314696,139,2455,52231,6396,20942
22.02022788375369,150,2277,52230,6261,20991
22.276277045192685,130,2232,52016,6220,20648
22.53232620663168,114,2158,51520,6221,20899
22.788375368070675,135,2176,51360,6143,20807
23.04442452950967,130,2091,51110,6318,20807
23.300473690948664,112,1956,50942,6175,20669
23.55652285238766,117,2045,50631,6234,20555
23.812572013826667,128,1881,50829,6077,20709
24.068621175265662,95,1764,49677,6092,20641
24.324670336704656,102,1706,49644,6136,20692
24.58071949814365,87,1700,49869,6067,20354
24.836768659582646,94,1641,49564,6186,20749
25.09281782102164,84,1605,49513,6059,20310
25.348866982460635,78,1543,49322,6162,20420
25.60491614389963,90,1588,48539,5975,20120
25.860965305338638,71,1506,48634,6177,20171
26.117014466777633,70,1458,48604,5921,20193
26.373063628216627,74,1326,48479,5971,19972
26.629112789655622,79,1342,48150,6022,19921
26.885161951094616,68,1343,47776,6054,20015
27.14121111253361,61,1308,47924,6022,19826
27.397260273972606,46,1186,48186,6005,19822
27.6533094354116,45,1125,47546,6022,19494
27.90935859685061,61,1143,47139,5912,19556
28.165407758289604,59,1124,47336,5953,19785
28.421456919728598,64,1124,46848,5970,19449
28.677506081167593,50,1084,46411,5906,19407
28.933555242606587,47,1023,46635,5859,19726
29.189604404045582,36,996,46061,5806,19382
29.445653565484577,39,979,46112,5886,19421
29.70170272692357,43,908,46150,5796,19225
29.957751888362566,33,961,45577,5785,19379
30.213801049801575,39,879,45683,5837,19247
30.46985021124057,43,813,45555,5821,19164
30.725899372679564,37,827,45014,5783,18885
30.98194853411856,40,842,45074,5737,19079
31.237997695557553,31,788,44718,5831,19002
31.494046856996547,39,766,44731,5656,18970
31.750096018435542,35,728,44400,5695,18693
32.00614517987454,36,661,44321,5700,19012
32.262194341313545,23,682,43927,5702,18811
32.51824350275254,21,702,44294,5706,18561
32.774292664191535,32,642,43478,5627,18814
33.03034182563053,24,652,43599,5625,18796
33.286390987069524,35,613,43712,5705,18914
33.54244014850852,24,590,43383,5630,18563
33.79848930994751,22,561,43301,5761,18646
34.05453847138651,22,535,42846,5573,18435
34.310587632825516,16,551,43087,5672,18571
34.56663679426451,23,526,42125,5587,18567
34.822685955703506,20,497,42330,5614,18332
35.0787351171425,24,524,42430,5602,18292
35.334784278581495,18,509,41958,5539,18385
35.59083344002049,18,476,41708,5593,18137
35.846882601459484,19,434,41417,5593,18144
36.10293176289848,12,449,41599,5559,18257
36.35898092433747,12,392,41229,5553,17920
36.61503008577648,23,381,41041,5518,18278
36.87107924721548,12,430,40880,5395,18181
37.12712840865447,16,380,40338,5430,18061
37.383177570093466,27,377,40480,5523,17850
37.63922673153246,16,328,40517,5422,17587
37.895275892971455,14,329,40125,5458,17674
38.15132505441045,8,332,40030,5447,17666
38.407374215849444,15,306,39935,5378,17634
38.66342337728845,15,317,39810,5439,17732
38.91947253872745,15,311,39841,5433,17425
39.17552170016644,13,270,39466,5423,17601
39.43157086160544,17,298,39372,5427,17711
39.68762002304443,9,258,39020,5319,17164
39.943669184483426,15,269,39226,5301,17222
40.19971834592242,8,271,38917,5325,17265
40.455767507361415,7,270,38750,5298,17392
40.711816668800424,16,269,38484,5403,17398
40.96786583023942,7,229,38578,5284,17204
41.22391499167841,7,237,37921,5323,17115
41.47996415311741,8,284,37718,5358,17126
41.7360133145564,9,219,37483,5367,17209
41.9920624759954,10,212,37885,5303,17204
42.24811163743439,9,183,37412,5226,17178
42.504160798873386,5,213,37352,5146,16723
42.76020996031238,3,182,37454,5214,16858
43.01625912175139,7,185,37068,5271,16861
43.272308283190384,5,174,36830,5063,16762
43.52835744462938,3,194,36692,5238,16698
43.78440660606837,2,185,36788,5146,16414
44.04045576750737,6,153,36615,5119,16527
44.29650492894636,7,156,36372,5124,16549
44.55255409038536,5,146,36168,5066,16608
44.80860325182435,6,158,36449,5104,16499
45.06465241326336,1,149,35688,5005,16721
45.320701574702355,5,156,35629,5204,16412
45.57675073614135,4,130,35652,5070,16412
45.832799897580344,7,146,35499,5055,16092
46.08884905901934,3,120,35541,4971,16276
46.34489822045833,6,138,35216,4963,16350
46.60094738189733,5,127,34762,4954,16210
46.85699654333632,3,120,35030,4837,16052
47.11304570477532,7,128,34944,5064,15993
47.369094866214326,4,109,34717,5048,16121
47.62514402765332,3,121,34655,5025,15783
47.881193189092315,2,99,34154,5155,16143
48.13724235053131,2,85,33983,4961,15923
48.393291511970304,5,73,34048,4906,15854
48.6493406734093,2,106,33980,4934,15723
48.90538983484829,6,103,33750,4843,15871
49.16143899628729,7,97,33810,4873,15812
49.4174881577263,2,104,33747,4884,15851
49.67353731916529,3,107,33302,4877,15667
49.929586480604286,3,93,33532,4795,15813
