x1,x2,x3,x4,x5,x6
0,6.94e-8,6.95e-7,6.96e-6,6.95e-5,0.000621
0,1.4621809049267258,1.4621809049267258,2.0389350309899177,3.2718492067564346,4.612147647236957
0,0.6929375639713409,2.4114636642784033,21.587512794268168,26.81064483111566,18.33265097236438
0.0,1970,18313,51522,29258,24097
0.2560491614390088,2120,20083,57702,31578,20857
0.5120983228780034,2089,20267,58341,32451,20269
0.768147484316998,2092,19688,57630,32586,19888
1.0241966457559926,2038,19126,56641,32718,19678
1.2802458071949872,1956,18122,54935,32683,19530
1.5362949686339817,1815,17663,53482,32619,19315
1.7923441300729763,1787,16767,52290,32190,19506
2.048393291511971,1691,16427,51697,32344,19243
2.3044424529509797,1625,15814,51177,32482,19317
2.5604916143899743,1567,15232,50159,32379,19078
2.816540775828969,1394,14641,49538,32240,19030
3.0725899372679635,1343,13985,48867,31763,19155
3.328639098706958,1351,13353,47854,31672,19205
3.5846882601459527,1314,13039,47249,31934,18939
3.8407374215849472,1229,12301,46461,31834,18935
4.096786583023942,1222,12005,46591,31537,18847
4.352835744462951,1165,11580,45927,31616,18859
4.608884905901945,1146,11094,45274,31334,18955
4.86493406734094,1018,10700,44392,31639,18754
5.120983228779934,987,10495,44278,31257,18654
5.377032390218929,934,9910,43940,31687,18455
5.633081551657924,930,9628,43592,30973,18283
5.889130713096918,907,9146,43430,31154,18283
6.145179874535913,822,8705,42821,31241,18508
6.401229035974907,759,8597,42588,31089,18578
6.657278197413916,757,8163,42026,31225,18351
6.913327358852911,737,7977,41853,30926,18320
7.169376520291905,657,7613,41519,30804,18160
7.4254256817309,684,7433,41787,30501,18284
7.6814748431698945,629,7216,41335,30966,18260
7.937524004608889,667,6933,41086,30632,18158
8.193573166047884,592,6741,40866,30402,17859
8.449622327486878,542,6392,40619,30694,18129
8.705671488925887,481,6237,40095,30409,18146
8.961720650364882,533,6026,40147,30359,17905
9.217769811803876,501,5918,39722,30549,17999
9.47381897324287,484,5605,39713,30072,18068
9.729868134681865,466,5488,39358,30090,17724
9.98591729612086,429,5349,39148,30110,18029
10.241966457559855,393,4992,39100,30254,17636
10.49801561899885,375,4881,38647,30026,17580
10.754064780437858,422,4849,38527,29920,17547
11.010113941876853,319,4657,38347,29676,17659
11.266163103315847,353,4379,38029,29568,17504
11.522212264754842,347,4199,37971,29722,17394
11.778261426193836,383,4206,37749,29558,17266
12.034310587632831,328,4007,37646,29772,17516
12.290359749071825,324,3818,37468,29633,17463
12.54640891051082,273,3797,37306,29312,17251
12.802458071949815,263,3645,36822,29670,17465
13.058507233388823,272,3554,37200,29492,17331
13.314556394827818,241,3459,36954,29300,17308
13.570605556266813,275,3274,36777,29290,17070
13.826654717705807,207,3230,36487,29379,17296
14.082703879144802,229,3053,36296,29119,16998
14.338753040583796,217,2989,35772,28908,17103
14.594802202022791,203,2873,36238,29066,17077
14.850851363461786,174,2751,35964,29052,17018
15.106900524900794,179,2633,35944,28627,17034
15.362949686339789,192,2681,35526,28750,16830
15.618998847778784,180,2578,35256,28929,16931
15.875048009217778,145,2458,35306,28654,16819
16.131097170656773,162,2374,35150,28579,16716
16.387146332095767,137,2368,35030,28446,16631
16.643195493534762,145,2197,34780,28862,16670
16.899244654973756,133,2084,34868,28187,16634
17.155293816412765,143,2068,34547,28442,16562
17.41134297785176,146,2025,34637,28575,16781
17.667392139290754,142,1880,34549,28331,16528
17.92344130072975,94,1841,34552,27970,16370
18.179490462168744,112,1858,34202,28198,16455
18.43553962360774,113,1728,33974,28301,16450
18.691588785046733,99,1710,33617,28041,16576
18.947637946485727,96,1652,33662,28380,16122
19.203687107924722,101,1488,33431,28115,16238
19.45973626936373,103,1526,33473,27881,16080
19.715785430802725,87,1476,33171,27989,16275
19.97183459224172,70,1490,32900,27941,16205
20.227883753680715,76,1375,33062,27694,16050
20.48393291511971,89,1360,32833,27682,16266
20.739982076558704,73,1313,32751,27805,16242
20.9960312379977,79,1321,33200,27523,16224
21.252080399436693,76,1274,32256,27489,16015
21.5081295608757,61,1227,32344,27537,15802
21.764178722314696,60,1127,32013,27325,16098
22.02022788375369,61,1140,32586,27356,16031
22.276277045192685,54,1089,32259,27243,15910
