x1,x2,x3,x4,x5,x6
0,1.0e6,0,0,0,0
0,1,1,2,3,4
0,1,2,12,26,18
0.0,3966,40234,40111,41633,55814
0.25,3930,39542,39185,41457,54924
0.5,3976,38448,38613,40375,53998
0.75,3759,37856,38312,39732,53074
1.0,3767,36916,37008,38678,52446
1.25,3686,36310,36022,38137,52406
1.5,3681,35988,35971,37368,51691
1.75,3619,34894,35074,36670,51237
2.0,3394,34308,34987,36540,51432
2.25,3364,33497,34008,35691,50829
2.5,3355,32898,33378,35061,50802
2.75,3340,32525,32374,34970,50466
3.0,3208,32341,32051,34131,50539
3.25,3201,31016,31619,33667,50150
3.5,3021,30680,31114,32839,50335
3.75,3023,29899,30595,32643,49704
4.0,3046,29625,29912,32274,49770
4.25,2860,29006,29295,31886,49625
4.5,2739,28543,28840,31326,49287
4.75,2803,28226,28302,31267,49334
5.0,2690,27845,27760,30451,48996
5.25,2699,27021,27049,30401,48913
5.5,2697,26325,26750,29885,48334
5.75,2537,26232,26402,29333,48905
6.0,2581,25402,25673,29870,48444
6.25,2456,25102,25320,29259,48616
6.5,2465,24334,24858,28638,48609
6.75,2374,24159,24543,28316,48496
7.0,2387,23784,24261,27847,48275
7.25,2273,23223,23589,27556,48378
7.5,2230,22995,23413,27283,48191
7.75,2161,22690,23003,26890,47798
8.0,2131,22160,22676,27187,47413
8.25,2099,21370,21726,26847,47325
8.5,2189,21416,22089,26319,47279
8.75,2080,20874,21417,26212,47170
9.0,2048,20296,20957,25843,47381
9.25,1980,20038,20435,25714,47102
9.5,1973,19743,20201,25087,47114
9.75,1949,19414,19902,25174,47086
10.0,1855,19101,19526,24973,46288
10.25,1855,18622,19322,24651,46490
10.5,1845,18421,19122,24466,46164
10.75,1808,17953,18496,23927,45866
11.0,1799,17701,18105,24233,45703
11.25,1773,17638,17945,23842,46291
11.5,1686,16922,17674,23670,45934
11.75,1686,16938,17472,23224,45793
12.0,1679,16446,17134,23408,45783
12.25,1620,16325,16860,22967,45404
12.5,1564,15836,16537,23106,45518
12.75,1540,15535,16372,22917,45178
13.0,1526,15382,15741,22362,44724
13.25,1489,14931,15682,22509,44584
13.5,1522,14948,15328,22221,45072
13.75,1423,14437,14949,22011,44645
14.0,1431,14344,14965,22240,44499
14.25,1372,13962,14698,21905,44654
14.5,1309,13642,14467,21612,44422
14.75,1260,13403,14265,21537,44156
15.0,1280,13206,13933,21365,44344
15.25,1409,12842,13639,20924,44100
15.5,1247,12726,13661,20868,44163
15.75,1218,12375,13499,20830,44257
16.0,1238,12125,13071,20639,43878
16.25,1196,11937,12783,20420,43571
16.5,1153,11740,12515,20408,43190
16.75,1196,11684,12426,20250,43770
17.0,1123,11340,12067,20247,43679
17.25,1077,11011,11964,19997,43302
17.5,1103,10904,11797,19549,43316
17.75,1074,10649,11428,19898,42884
18.0,1066,10658,11414,19919,42856
18.25,1029,10257,11270,19394,43006
18.5,983,10127,11011,19167,42335
18.75,1001,10155,10783,19521,42554
19.0,969,9740,10732,19229,42154
19.25,905,9611,10478,18740,42244
19.5,936,9355,10274,18907,42179
19.75,907,9397,10247,18656,42225
20.0,936,9095,10128,18869,42181
20.25,906,9002,9809,18256,42306
20.5,872,8808,9779,18482,41865
20.75,865,8684,9692,18330,41638
21.0,835,8594,9388,18370,41974
21.25,826,8411,9323,18141,41688
21.5,800,8204,9125,18130,41365
21.75,886,8175,8879,17920,40756
22.0,790,8038,8737,18063,41176
22.25,806,7882,8863,17823,41201
22.5,759,7721,8693,17517,41261
22.75,743,7336,8469,17620,40857
23.0,757,7319,8169,17344,40705
23.25,742,7325,7973,17255,40796
23.5,719,7319,7921,17574,40499
23.75,651,7020,7912,17290,40332
24.0,733,6826,7788,17004,40490
24.25,713,6808,7663,16962,40454
24.5,633,6417,7528,16818,40173
24.75,673,6553,7421,16856,40038
25.0,611,6405,7319,16866,39992
25.25,607,6247,7106,16530,39906
25.5,646,6086,7111,16413,39781
25.75,625,6006,6932,16474,39680
26.0,621,6124,6689,16366,39442
26.25,582,5895,6753,16448,39146
26.5,569,5842,6655,16182,39651
26.75,583,5665,6349,16164,39243
27.0,568,5539,6316,15999,39444
27.25,569,5551,6297,15736,39106
27.5,503,5522,6209,15820,39030
27.75,533,5389,5995,15684,38845
28.0,526,5171,6052,15690,38604
28.25,452,5050,5999,15594,38543
28.5,488,5050,5762,15475,38356
28.75,507,4977,5712,15331,38409
29.0,478,4911,5732,15496,38528
29.25,491,4852,5509,15170,38493
29.5,463,4739,5485,15232,38149
29.75,457,4575,5472,15218,37765
30.0,422,4641,5360,15167,38255
30.25,444,4408,5400,15197,37787
30.5,423,4348,5230,14789,37850
30.75,412,4266,5032,14889,37750
31.0,404,4096,5005,14799,37850
31.25,403,4228,4937,14857,37237
31.5,411,4136,4895,14630,37716
31.75,387,3954,4735,14467,37343
32.0,406,3868,4708,14500,37351
32.25,367,3979,4671,14404,37128
32.5,350,3820,4584,14498,37003
32.75,385,3672,4488,14380,37335
33.0,369,3720,4392,14457,36761
33.25,384,3624,4349,14057,36730
33.5,348,3687,4316,14077,36508
33.75,317,3500,4264,14249,36432
34.0,354,3391,4103,14017,36529
34.25,331,3379,4086,14052,36500
34.5,298,3384,4261,13914,36453
34.75,342,3267,3958,13927,36457
35.0,349,3258,3885,13699,36137
35.25,310,3217,3978,13749,36345
35.5,278,3084,3799,13594,35797
35.75,308,3030,3720,13508,35505
36.0,306,3010,3794,13518,35939
36.25,278,2933,3725,13170,35922
36.5,289,3075,3657,13322,35823
36.75,291,2880,3481,13600,35065
37.0,264,2863,3451,13401,35520
37.25,268,2792,3346,13086,35019
37.5,289,2761,3438,12924,35063
37.75,264,2587,3249,13043,35119
38.0,266,2693,3253,13171,35177
38.25,275,2636,3298,13245,35017
38.5,252,2532,3232,13062,34991
38.75,232,2608,3273,13060,35391
39.0,223,2485,3192,12658,34927
39.25,264,2452,3220,12614,34532
39.5,236,2475,2996,12713,34669
39.75,215,2422,3018,12712,34224
40.0,221,2288,2891,12567,34217
40.25,256,2318,2940,12464,34550
40.5,224,2349,2835,12626,34309
40.75,220,2168,2732,12397,34352
41.0,228,2158,2780,12327,34431
41.25,208,2220,2809,12243,34011
41.5,184,2127,2652,12325,33814
41.75,188,2019,2626,12259,33732
42.0,205,2124,2639,12278,33733
42.25,201,2071,2623,12157,33753
42.5,194,1986,2570,12108,33638
42.75,166,2136,2553,12073,33670
43.0,212,1993,2454,12025,33353
43.25,173,1972,2378,11991,33223
43.5,198,1970,2441,11774,33483
43.75,186,1908,2385,11782,33190
44.0,184,1843,2326,11783,33218
44.25,154,1785,2398,11677,32953
44.5,174,1731,2367,11564,32830
44.75,174,1813,2227,11860,32798
45.0,167,1734,2229,11502,32989
45.25,184,1665,2197,11493,32970
45.5,154,1709,2220,11381,32630
45.75,165,1667,2078,11693,32692
46.0,168,1645,2115,11316,32208
46.25,147,1619,2093,11476,32422
46.5,167,1582,2050,11344,31910
46.75,170,1599,2026,11345,32244
47.0,142,1557,2051,11171,32159
47.25,152,1595,1979,11371,32098
47.5,152,1535,1871,11192,32141
47.75,122,1460,1910,11212,32273
48.0,126,1444,1891,11052,32074
48.25,146,1422,1807,11244,31879
48.5,137,1438,1907,11037,31553
48.75,142,1410,1860,10924,31689
49.0,139,1388,1849,10833,31765
49.25,141,1363,1796,10853,31716
49.5,139,1375,1764,10652,31454
49.75,128,1325,1668,10563,31280
50.0,119,1305,1658,10678,31563
50.25,132,1244,1704,10712,31071
50.5,124,1323,1628,10657,31290
50.75,140,1271,1644,10411,31118
51.0,127,1206,1612,10616,30913
51.25,114,1195,1541,10512,30720
51.5,117,1277,1549,10313,30867
51.75,131,1221,1561,10447,30743
52.0,113,1151,1563,10260,30508
52.25,105,1234,1506,10274,30378
52.5,106,1189,1477,10349,30760
52.75,127,1149,1505,10176,30428
53.0,104,1076,1425,10102,30547
53.25,108,1140,1427,10386,29894
53.5,105,1090,1451,10205,30297
53.75,115,1089,1462,10161,30116
54.0,102,1055,1432,9899,30141
54.25,99,1011,1415,10007,29718
54.5,102,1062,1418,9902,29903
54.75,104,1022,1357,10018,29799
55.0,104,988,1342,9820,29438
55.25,85,960,1330,9966,29318
55.5,94,984,1332,9667,29478
55.75,103,995,1300,9792,29499
56.0,94,1032,1333,9929,29550
56.25,97,978,1303,9489,29526
56.5,98,959,1336,9503,29115
56.75,74,966,1198,9604,29368
57.0,92,958,1199,9655,29265
57.25,84,904,1159,9623,29179
57.5,78,936,1192,9679,28949
57.75,101,902,1152,9518,28835
58.0,97,856,1234,9535,29196
58.25,92,886,1153,9260,28755
58.5,95,848,1155,9121,28938
58.75,89,848,1166,9495,28608
59.0,75,845,1142,9119,28802
59.25,81,826,1083,9286,28494
59.5,66,809,1057,9149,28502
59.75,72,831,1132,9112,28350
60.0,85,797,1034,9097,28670
60.25,72,808,1111,8925,28718
60.5,74,818,1034,8995,28529
60.75,83,794,1037,9235,28246
61.0,86,774,1020,9013,27964
61.25,59,779,1026,9258,28268
61.5,65,805,983,9071,28181
61.75,68,749,995,8852,28103
62.0,54,759,1039,8963,27927
62.25,65,704,1012,8978,27774
62.5,90,700,975,8589,27720
62.75,70,732,995,8844,27793
63.0,73,692,1006,8693,27552
63.25,82,664,944,8615,27373
63.5,56,724,1009,8533,27357
63.75,93,650,958,8646,27488
64.0,72,655,922,8672,27390
64.25,88,717,956,8571,27301
64.5,74,709,871,8536,27224
64.75,61,693,911,8482,27103
65.0,76,681,878,8565,27220
65.25,52,637,886,8313,26910
65.5,65,647,840,8460,27096
65.75,51,675,814,8395,27054
66.0,60,673,841,8376,26801
66.25,56,660,885,8251,26885
66.5,68,638,812,8204,26476
66.75,82,685,842,8165,26725
67.0,67,652,743,8137,26518
67.25,48,639,785,8184,26538
67.5,67,617,757,8237,26247
67.75,66,579,828,8135,26246
68.0,56,640,784,8195,26273
68.25,54,571,784,8070,26021
68.5,59,597,724,7945,26173
68.75,55,586,851,7863,26376
69.0,46,597,813,7907,26135
69.25,64,583,776,7874,26140
69.5,63,595,762,7838,25835
69.75,68,531,743,7857,26175
70.0,51,586,730,8065,25988
70.25,66,565,730,7899,26037
70.5,54,571,743,7798,25615
70.75,57,611,692,7716,25697
71.0,53,585,686,7804,25618
71.25,51,544,713,7694,25688
71.5,48,535,748,7751,25571
71.75,64,571,742,7558,25815
72.0,60,524,733,7587,25659
72.25,65,586,664,7471,25148
72.5,57,487,736,7534,25345
72.75,47,515,743,7514,25372
73.0,46,528,662,7510,25439
73.25,49,504,687,7462,25194
73.5,47,468,680,7369,25129
73.75,52,515,653,7332,24963
74.0,54,511,669,7393,24812
74.25,43,540,658,7373,24847
74.5,37,501,656,7291,24988
74.75,49,471,636,7209,24687
75.0,49,474,633,7213,24867
75.25,61,467,647,7304,24737
75.5,29,492,582,7077,24479
75.75,46,476,608,7229,24577
76.0,44,500,616,7167,24180
76.25,37,465,584,7248,24388
76.5,42,499,618,7077,24378
76.75,44,472,601,7138,24391
77.0,54,450,623,7043,24174
77.25,37,470,632,7112,24296
77.5,57,472,581,7104,24322
77.75,44,432,564,7052,24270
78.0,47,388,617,6979,23962
78.25,40,479,566,6964,24067
78.5,40,469,601,6866,23954
78.75,42,457,573,6780,24068
79.0,50,428,567,6898,24019
79.25,48,434,595,6703,23661
79.5,53,474,566,6757,23635
79.75,41,456,605,6818,23510
80.0,43,468,583,6713,23718
80.25,42,437,555,6792,23489
80.5,49,444,548,6778,23918
80.75,33,424,537,6808,23271
81.0,45,429,531,6842,23587
81.25,48,439,579,6665,23580
81.5,42,413,543,6523,23318
81.75,34,447,558,6551,23227
82.0,48,434,551,6603,23086
82.25,33,421,532,6408,23115
82.5,48,456,515,6505,23133
82.75,34,415,561,6434,23033
83.0,37,419,505,6468,23305
83.25,32,442,532,6454,22904
83.5,56,429,532,6480,22827
83.75,38,450,495,6381,22842
84.0,42,398,563,6465,22847
84.25,41,396,486,6438,22731
84.5,41,407,534,6293,23062
84.75,36,385,539,6223,22882
85.0,34,426,502,6111,22716
85.25,41,404,497,6294,22451
85.5,38,433,494,6247,22590
85.75,41,419,524,6301,22384
86.0,40,394,513,6195,22139
86.25,43,391,497,6049,22357
