x1,x2,x3,x4,x5,x6,x7
0,1.0e6,0,0,0,0,0
0,1,1,1,2,3,4
0,1,1,2,12,26,18
0.0,56,885,30059,52059,55884,60330
0.25,37,657,23333,43141,48497,52315
0.5,29,485,18915,37657,44306,48009
0.75,27,392,15162,33400,41554,44362
1.0,16,292,11995,29989,38871,40899
1.25,11,226,9873,27146,37158,37899
1.5,11,198,7961,24619,35052,35351
1.75,15,160,6442,22479,33217,32495
2.0,6,131,5366,20577,31822,30054
2.25,10,88,4327,18832,30706,28224
2.5,3,71,3557,17228,28983,25969
2.75,5,69,2969,15834,27659,24346
3.0,8,66,2360,14737,26738,22591
3.25,4,38,2149,13713,25709,21159
3.5,2,28,1821,12748,24234,19897
3.75,5,28,1556,11691,23250,18442
4.0,1,28,1372,10990,22215,17672
4.25,2,26,1154,10263,21070,16331
4.5,1,26,1052,9638,20255,15355
4.75,1,14,833,9008,19400,14474
5.0,2,18,810,8590,18840,13688
5.25,1,14,707,7914,18072,12810
5.5,3,13,722,7520,17269,12110
5.75,2,16,584,7112,16768,11357
6.0,0,13,579,6552,15884,10694
6.25,2,8,525,6252,15284,10292
6.5,0,11,510,6108,14493,9591
6.75,3,11,468,5672,14008,9181
7.0,2,10,433,5490,13408,8632
7.25,3,13,441,5144,12924,8177
7.5,0,13,408,4984,12509,7709
7.75,1,10,378,4624,11918,7436
8.0,2,7,396,4568,11300,6933
8.25,1,6,380,4231,11000,6668
8.5,2,12,386,4153,10377,6230
8.75,0,7,386,4048,10036,5962
9.0,2,4,371,3788,9600,5606
9.25,3,8,361,3559,9285,5554
9.5,3,12,380,3608,9046,5022
9.75,5,10,327,3427,8540,4872
10.0,1,13,326,3358,8325,4743
10.25,0,6,353,3209,7992,4546
10.5,1,9,351,3193,7452,4340
10.75,2,6,304,3106,7451,4157
11.0,0,6,338,2867,7101,3821
11.25,0,6,332,2926,6786,3802
11.5,1,7,311,2859,6508,3582
11.75,1,7,325,2702,6312,3361
12.0,1,3,307,2722,6054,3222
12.25,2,10,296,2601,5818,3002
12.5,2,11,310,2506,5586,2956
12.75,0,6,315,2522,5396,2775
13.0,1,11,294,2530,5316,2726
13.25,1,4,279,2337,4896,2618
13.5,2,8,313,2323,4770,2533
13.75,2,7,319,2231,4549,2252
14.0,3,3,268,2242,4400,2289
14.25,0,9,262,2210,4247,2273
14.5,0,6,286,2153,4056,2053
14.75,1,7,287,2201,3897,1986
15.0,2,7,270,2128,3868,1855
15.25,0,4,304,2037,3701,1778
15.5,1,5,271,2010,3549,1742
15.75,1,5,268,2043,3448,1635
16.0,1,8,273,1974,3254,1580
16.25,1,8,277,1995,3120,1560
16.5,1,5,232,1885,3143,1471
16.75,0,8,249,1896,2956,1435
17.0,2,8,257,1853,2828,1334
17.25,2,4,275,1847,2690,1304
17.5,2,6,256,1877,2702,1358
17.75,1,4,240,1809,2600,1232
18.0,3,4,237,1767,2487,1174
18.25,1,2,247,1765,2359,1153
18.5,3,5,237,1698,2350,1048
18.75,0,6,230,1769,2241,1057
19.0,1,6,229,1662,2126,1016
19.25,3,5,246,1679,2106,943
19.5,2,5,211,1696,1949,892
19.75,2,7,234,1683,1969,926
20.0,0,8,251,1615,1874,856
20.25,0,7,242,1646,1843,821
20.5,0,3,225,1617,1816,817
20.75,2,7,217,1530,1696,778
21.0,0,7,238,1585,1640,703
21.25,3,3,224,1471,1576,705
21.5,0,3,222,1531,1507,698
21.75,3,5,216,1454,1404,616
22.0,1,2,245,1440,1415,624
22.25,1,3,200,1472,1385,636
22.5,0,6,204,1428,1278,564
22.75,1,2,204,1403,1296,533
23.0,1,2,199,1404,1270,543
23.25,0,6,215,1408,1194,481
23.5,0,5,226,1423,1146,499
23.75,4,2,196,1381,1197,477
24.0,3,4,218,1325,1102,493
24.25,3,8,215,1316,1057,469
24.5,0,6,187,1345,1075,447
24.75,2,6,232,1362,986,417
25.0,1,4,196,1322,1016,409
25.25,0,4,205,1333,941,375
25.5,1,4,191,1305,946,374
25.75,2,4,191,1313,929,393
26.0,1,6,192,1273,861,335
26.25,1,5,176,1282,889,368
26.5,1,2,197,1246,869,290
26.75,1,5,174,1215,809,299
27.0,1,3,164,1169,792,307
27.25,0,2,180,1206,723,299
27.5,1,7,163,1248,755,315
27.75,0,3,190,1220,696,276
28.0,1,1,178,1143,737,256
28.25,0,6,146,1189,663,239
28.5,1,3,178,1118,670,255
28.75,2,5,161,1175,682,238
29.0,0,4,163,1129,712,232
29.25,1,6,140,1096,594,215
29.5,1,5,154,1095,606,222
29.75,5,2,147,1093,598,218
30.0,0,7,167,1157,625,197
30.25,0,2,163,1110,563,216
30.5,3,4,158,1058,575,170
30.75,1,7,132,1003,545,196
31.0,1,4,139,1103,552,164
31.25,1,5,144,996,532,161
31.5,1,6,149,1015,539,168
31.75,2,1,141,1066,549,170
32.0,1,1,156,1031,512,160
32.25,1,3,133,1048,516,169
32.5,2,5,150,978,473,149
32.75,2,6,129,1027,488,162
33.0,1,4,128,1041,436,140
33.25,1,3,138,978,450,135
33.5,1,6,140,981,464,125
33.75,1,3,128,897,444,121
34.0,2,5,113,933,459,122
34.25,0,7,143,882,425,121
34.5,1,1,131,951,455,118
34.75,1,4,134,840,421,138
35.0,0,1,116,904,413,122
35.25,1,4,127,958,417,117
35.5,1,6,125,906,396,111
35.75,1,1,128,893,404,101
36.0,2,3,144,967,350,92
36.25,5,3,136,862,362,87
36.5,2,3,133,884,382,100
36.75,0,3,111,890,365,82
37.0,2,5,127,934,353,107
37.25,1,4,131,857,378,76
37.5,0,3,99,814,355,99
37.75,0,0,119,837,350,85
38.0,1,3,134,778,369,89
38.25,0,4,104,825,350,95
38.5,1,6,137,787,316,64
38.75,0,3,119,793,319,103
39.0,4,6,136,764,341,90
39.25,1,6,124,797,319,92
39.5,1,4,94,840,331,80
39.75,1,6,106,757,311,95
40.0,2,2,119,783,295,79
40.25,0,3,115,704,322,66
40.5,0,1,95,777,316,65
40.75,1,3,113,717,300,55
41.0,3,2,99,713,294,81
41.25,0,3,85,747,288,62
41.5,0,3,104,749,309,72
41.75,0,3,105,729,297,57
42.0,0,3,94,724,274,63
42.25,0,0,119,715,276,66
42.5,2,1,104,734,291,68
42.75,0,6,101,711,272,61
43.0,1,3,105,664,266,73
43.25,0,2,95,670,249,53
43.5,1,1,97,704,253,50
43.75,1,3,83,664,260,62
44.0,3,4,94,679,260,61
44.25,2,2,104,642,264,60
44.5,0,4,98,630,240,57
44.75,2,3,107,719,255,47
45.0,0,3,94,657,225,50
45.25,1,4,85,680,233,59
45.5,0,3,74,649,255,54
45.75,2,7,86,675,224,62
46.0,3,3,75,604,228,50
46.25,1,2,80,622,236,56
46.5,0,2,94,670,250,62
46.75,1,6,91,622,236,50
47.0,1,2,82,632,199,56
47.25,1,4,93,580,224,34
47.5,3,2,71,565,241,49
47.75,1,4,75,644,194,64
48.0,1,5,74,609,212,54
48.25,2,2,89,599,232,42
48.5,1,0,85,552,199,53
48.75,0,0,80,534,210,53
49.0,0,1,70,546,198,50
49.25,0,1,87,536,221,57
49.5,0,1,70,517,188,48
49.75,1,0,80,589,209,37
50.0,0,1,84,553,215,53
50.25,1,0,90,527,221,56
50.5,3,0,75,563,204,32
50.75,1,2,83,593,203,43
51.0,1,0,63,549,154,35
51.25,0,1,66,549,197,62
51.5,1,0,68,540,202,41
51.75,1,3,83,543,162,36
52.0,0,3,71,529,178,35
52.25,1,1,80,519,174,49
52.5,0,2,69,506,186,41
52.75,1,2,77,504,197,46
53.0,1,3,54,469,170,46
53.25,2,5,73,472,200,43
53.5,0,2,71,519,178,41
53.75,1,0,63,512,182,50
54.0,1,3,61,517,166,37
54.25,0,1,73,479,181,35
54.5,0,3,51,496,203,47
54.75,0,1,47,524,164,44
55.0,1,3,63,495,171,45
55.25,0,4,62,482,170,53
55.5,1,2,65,475,154,28
55.75,2,3,70,454,177,44
56.0,0,2,63,479,146,38
56.25,1,1,43,473,174,34
56.5,0,3,53,392,158,39
56.75,0,1,46,482,163,42
57.0,1,4,61,434,159,27
57.25,1,2,47,405,146,49
57.5,2,0,68,446,141,35
57.75,0,2,55,434,171,40
58.0,1,1,62,408,146,43
58.25,0,3,53,433,154,43
58.5,0,3,62,443,162,30
58.75,0,1,55,411,151,39
59.0,2,0,51,469,161,38
59.25,1,1,56,409,155,33
59.5,0,2,46,402,163,43
59.75,0,3,36,420,144,35
60.0,1,1,44,430,126,29
60.25,0,1,59,414,136,37
60.5,1,3,51,384,143,40
60.75,1,2,56,403,142,27
61.0,0,3,55,402,147,37
61.25,3,1,40,341,136,19
61.5,1,2,52,410,132,44
61.75,0,3,50,399,140,27
62.0,0,3,49,402,147,39
62.25,4,3,40,351,127,39
62.5,3,2,48,409,123,33
62.75,3,1,40,392,146,31
63.0,1,2,43,359,130,35
63.25,2,0,47,323,153,35
63.5,1,5,41,355,116,34
