t,name,resid
0,Transient 1,-0.7330144075102052
0,Transient 2,1.124386530477505
0,Transient 3,-0.09805676877857736
0,Transient 4,0.03850639416180332
0,Transient 5,-0.7966557074248481
0.25,Transient 1,-0.12129999523650337
0.25,Transient 2,1.4036752789338178
0.25,Transient 3,-0.9983894322125911
0.25,Transient 4,3.0382402868406304
0.25,Transient 5,0.4013777393935329
0.5,Transient 1,1.7885540240939903
0.5,Transient 2,-0.43018598435543043
0.5,Transient 3,-0.19508778732502585
0.5,Transient 4,1.4047708483578076
0.5,Transient 5,0.24709790803891563
0.75,Transient 1,-0.5422682477027018
0.75,Transient 2,0.20954222835752426
0.75,Transient 3,1.930542778703034
0.75,Transient 4,1.7788032755000311
0.75,Transient 5,-0.7598753185441258
1,Transient 1,0.7400898077993018
1,Transient 2,-1.01705537368515
1,Transient 3,-1.1756031024656235
1,Transient 4,-0.08397991175819804
1,Transient 5,-1.1028376517165726
1.25,Transient 1,0.5533718367589541
1.25,Transient 2,-0.585503783032143
1.25,Transient 3,-2.7617326808475746
1.25,Transient 4,0.4999688099503023
1.25,Transient 5,0.6791716307538506
1.5,Transient 1,1.603685657454212
1.5,Transient 2,1.2851038375509116
1.5,Transient 3,0.4947102299900081
1.5,Transient 4,-0.22448743625022713
1.5,Transient 5,-0.8174394182666788
1.75,Transient 1,1.6966830144340919
1.75,Transient 2,-0.99785027540973
1.75,Transient 3,-0.7779357306155413
1.75,Transient 4,-0.723456834321493
1.75,Transient 5,-1.4186546291679138
2,Transient 1,-0.9980768436219565
2,Transient 2,-0.6543435098308152
2,Transient 3,2.204535106046008
2,Transient 4,1.6274938965715648
2,Transient 5,0.6624027687571271
2.25,Transient 1,-0.41793037166685365
2.25,Transient 2,-1.5981739571727562
2.25,Transient 3,0.3362650441691505
2.25,Transient 4,0.09436038123066902
2.25,Transient 5,-0.9184936174488106
2.5,Transient 1,0.5137025685371186
2.5,Transient 2,-1.459965922917958
2.5,Transient 3,0.26918727541510784
2.5,Transient 4,-0.4086905855801646
2.5,Transient 5,-0.056293454736217
2.75,Transient 1,1.3330992104277586
2.75,Transient 2,-0.13080421832434241
2.75,Transient 3,-1.9404207360457106
2.75,Transient 4,1.868349107814547
2.75,Transient 5,-0.6467656503733572
3,Transient 1,0.08951389564780039
3,Transient 2,2.2090746387082905
3,Transient 3,-0.4540474358604534
3,Transient 4,0.034502469494732686
3,Transient 5,0.5186421616162578
3.25,Transient 1,1.0232410504815364
3.25,Transient 2,-1.9098807546784304
3.25,Transient 3,0.3746137032527808
3.25,Transient 4,0.11943745411085303
3.25,Transient 5,-0.42304023796647644
3.5,Transient 1,-1.1581261605844095
3.5,Transient 2,-0.5306078457080039
3.5,Transient 3,0.7361412478686293
3.5,Transient 4,-1.8873357974885965
3.5,Transient 5,1.1563986879979384
3.75,Transient 1,-0.08815234001980754
3.75,Transient 2,-1.7551226331207823
3.75,Transient 3,0.9578595696968457
3.75,Transient 4,-0.5090771417151115
3.75,Transient 5,-0.9420928742765055
4,Transient 1,1.3579097215930134
4,Transient 2,-0.11492787219620473
4,Transient 3,0.1709175181846273
4,Transient 4,-0.1604607513430755
4,Transient 5,0.05197392916329938
4.25,Transient 1,-1.0506735881113443
4.25,Transient 2,-0.5317175674886723
4.25,Transient 3,-0.31018855650307897
4.25,Transient 4,0.006972082354759881
4.25,Transient 5,0.0800715803766105
4.5,Transient 1,-2.3247494076771136
4.5,Transient 2,-0.0941998523893124
4.5,Transient 3,0.09115272791205184
4.5,Transient 4,-0.8691508810371901
4.5,Transient 5,-0.7773350787127703
4.75,Transient 1,-0.12114008358054136
4.75,Transient 2,1.1611435765260345
4.75,Transient 3,-0.05583884731001069
4.75,Transient 4,1.0133776735053786
4.75,Transient 5,0.08292954347144318
5,Transient 1,-1.2880285538066198
5,Transient 2,1.9927226554647997
5,Transient 3,-0.2908848950739447
5,Transient 4,-1.4705296346477155
5,Transient 5,-0.8034997072426145
5.25,Transient 1,-0.13989829135983897
5.25,Transient 2,0.09102645257657058
5.25,Transient 3,-1.6155896020325513
5.25,Transient 4,0.3498725795484688
5.25,Transient 5,-0.5503822261513698
5.5,Transient 1,0.7903445503340724
5.5,Transient 2,-1.124627901689817
5.5,Transient 3,-0.5034296763812817
5.5,Transient 4,-0.5646213947847633
5.5,Transient 5,-2.553291946506503
5.75,Transient 1,-1.3769104064512183
5.75,Transient 2,1.3177236578428106
5.75,Transient 3,0.26603757912549886
5.75,Transient 4,-1.76217527730699
5.75,Transient 5,0.6478222373104918
6,Transient 1,0.4394209041639813
6,Transient 2,-0.8621951636231412
6,Transient 3,-1.3783318618866396
6,Transient 4,3.325496089485401
6,Transient 5,-0.8335301958627207
6.25,Transient 1,-1.1096954352559183
6.25,Transient 2,0.20681792557914988
6.25,Transient 3,-0.748339571865254
6.25,Transient 4,1.686039682052705
6.25,Transient 5,0.5502234299834221
6.5,Transient 1,9.238977587508956e-4
6.5,Transient 2,-1.7480551471721408
6.5,Transient 3,-0.8543163352421068
6.5,Transient 4,-0.09003523697943343
